SEMANA;PLANTA;GRUPO_VARIEDAD;ID_CALIBRE;KILOS_ESTIMADOS
202352;GF MALLOA;LA;LXJYDD;3034,923501
202352;GF MALLOA;LA;LXJZDD;6852,658175
202352;GF MALLOA;LA;LXJYWDD;5787,671376
202352;GF MALLOA;LA;LXJYZDD;9887,581676
202352;GF MALLOA;LA;LXJYZWDD;10294,50793
202352;GF MALLOA;LA;LXJZWDD;7259,584425
202352;GF MALLOA;LA;LXJWDE;4129,121812
202352;GF MALLOA;LA;LXJYDE;4552,385252
202352;GF MALLOA;LA;LXJZDE;10278,98726
202352;GF MALLOA;LA;LXJYWDE;8681,507063
202352;GF MALLOA;LA;LXJYZDE;14831,37251
202352;GF MALLOA;LA;LXJYZWDE;15441,76189
202352;GF MALLOA;LA;LXJZWDE;10889,37664
202352;GF MALLOA;LA;LXJWEE;1376,373937
202352;GF MALLOA;LA;LXJYEE;1517,461751
202352;GF MALLOA;LA;LXJZEE;3426,329088
202352;GF MALLOA;LA;LXJYWEE;2893,835688
202352;GF MALLOA;LA;LXJYZEE;4943,790838
202352;GF MALLOA;LA;LXJYZWEE;5147,253963
202352;GF MALLOA;LA;LXJZWEE;3629,792212
202352;GF MALLOA;LA;LXJSWAA;19739,21657
202352;GF MALLOA;LA;LXJSYAA;33154,14271
202352;GF MALLOA;LA;LXJSZAA;77509,33181
202352;GF MALLOA;LA;LXJSYWAA;52893,35927
202352;GF MALLOA;LA;LXJSYZAA;110663,4745
202352;GF MALLOA;LA;LXJSYZWAA;116327,7613
202352;GF MALLOA;LA;LXJSZWAA;83173,61863
202352;GF MALLOA;LA;LXJSWAB;24674,02071
202352;GF MALLOA;LA;LXJSYAB;41442,67838
202352;GF MALLOA;LA;LXJSZAB;96886,66476
202352;GF MALLOA;LA;LXJSYWAB;66116,69909
202352;GF MALLOA;LA;LXJSYZAB;138329,3431
202352;GF MALLOA;LA;LXJSYZWAB;145409,7017
202352;GF MALLOA;LA;LXJSZWAB;103967,0233
202352;GF MALLOA;LA;LXJSWABC;27963,89014
202352;GF MALLOA;LA;LXJSYABC;46968,36883
202352;GF MALLOA;LA;LXJSZABC;109804,8867
202352;GF MALLOA;LA;LXJSYWABC;74932,25897
202352;GF MALLOA;LA;LXJSYZABC;156773,2556
202352;GF MALLOA;LA;LXJSYZWABC;164797,6619
202352;GF MALLOA;LA;LXJSZWABC;117829,2931
202352;GF MALLOA;LA;LXJSWABCD;31253,75957
